Walls,Value,Queens:
13835058055282163712,8,292736725095563265
11529215046068469760,8,594492752125822080
10376293541461622784,8,4612813157433344520
9799832789158199296,8,1226105138138187840
9511602413006487552,8,1297037931781046280
9367487224930631680,8,4612284169950101520
9295429630892703744,8,306247523977658640
9259400833873739776,8,90080928227004420
9241386435364257792,8,612490666550902800
9232379236109516800,9,2342170882522497032
9227875636482146304,9,1189266995372101636
9225623836668461056,9,613070108662695968
9224497936761618432,9,324549719187522064
9223934986808197120,8,1188959102083007040
9223653511831486464,8,73201635920715777
9223512774343131136,8,1188959102089298496
9223442405598953472,9,4612398639418183744
9223407221226864640,9,585613224569737217
9223389629040820224,9,1154189379086991376
9223380832947798016,9,585609806010647048
9223376434901286912,9,297248845417681024
9223374235878031360,9,162148297612462082
9223373136366403584,8,76563942515673089
9223372586610589696,8,1188952536082841632
9223372311732682752,9,594493301881635904
9223372174293729280,9,2306424105542353952
9223372105574252544,9,1170944841011430016
9223372071214514176,9,577041861915983873
9223372054034644992,9,2306986784908706944
9223372045444710400,9,1153625333853848072
9223372041149743104,8,2308095979406114820
9223372039002259456,8,1188951436042437184
9223372037928517632,9,4612813157466914824
9223372037391646720,9,2307039314389762592
9223372037123211264,9,612494017196720416
9223372036988993536,9,2308097558146189313
9223372036921884672,9,297239845313986564
9223372036888330240,9,148759560642109442
9223372036871553024,8,146437363077218592
9223372036863164416,8,4611972441743819280
9223372036858970112,9,4616194020942021184
9223372036856872960,9,153123761997225992
9223372036855824384,9,76702068731154436
9223372036855300096,9,577094139796070408
9223372036855037952,9,153127060397687824
9223372036854906880,9,153127060397690882
9223372036854841344,8,162147728544505860
9223372036854808576,8,4613973552403580032
9223372036854792192,8,4612847111573080128
9223372036854784000,9,2308097283197272352
9223372036854779904,9,292736725095563536
9223372036854777856,9,2308097283197272328
9223372036854776832,9,292804353249542404
9223372036854776320,8,2341876479291428865
9223372036854776064,8,594492752125822080
9223372036854775936,8,1153493525606703105
9223372036854775872,8,1153493525606703105
9223372036854775840,8,297246382237958145
9223372036854775824,8,1143767004881025
9223372036854775816,8,577094088726151440
9223372036854775812,8,2306968943505444930
9223372036854775810,8,4611694823387176965
9223372036854775809,8,292804348952608800
6917529027641081856,8,1153493525606703105
5764607523034234880,8,11817726906059458560
5188146770730811392,8,1315052210033264640
4899916394579099648,8,1261043098289571840
4755801206503243776,8,1261043098289571840
4683743612465315840,8,2307039288603181320
4647714815446351872,9,10377420680466663488
4629700416936869888,8,10376891694041268480
4620693217682128896,9,2342170882522497032
4616189618054758400,9,10376865292877825056
4613937818241073152,9,612775492138960928
4612811918334230528,9,324549719187522064
4612248968380809216,8,9372061201894211844
4611967493404098560,8,9297681435538362432
4611826755915743232,9,11531469594933854468
4611756387171565568,8,9299935567053586440
4611721202799476736,9,11530411349097054752
4611703610613432320,9,1154189379086991376
4611694814520410112,9,2308167445581465728
4611690416473899008,9,1154189276947423234
4611688217450643456,9,9800413340424537152
4611687117939015680,8,9297751817167307024
4611686568183201792,9,9800466125580927248
4611686293305294848,9,594493301881635904
4611686155866341376,9,297246655244148737
4611686087146864640,9,2306142360113020936
4611686052787126272,9,585469138043013248
4611686035607257088,9,9800118799658127364
4611686027017322496,9,10376865292876914692
4611686022722355200,9,10377420576313647106
4611686020574871552,9,11529848369129226248
4611686019501129728,9,9520612086179708944
4611686018964258816,9,2307039314389762592
4611686018695823360,9,612494017196720416
4611686018561605632,9,594492760732992128
4611686018494496768,9,10377420576313712644
4611686018460942336,9,148759560642109442
4611686018444165120,9,10377420576313647106
4611686018435776512,9,9520612086430924808
4611686018431582208,9,9520612086179708944
4611686018429485056,9,9520611811557181472
4611686018428436480,9,76702068731154436
4611686018427912192,9,9516108246037825568
4611686018427650048,9,9225626310638896144
4611686018427518976,9,153127060397690882
4611686018427453440,8,9369809397785559300
