Walls,Value,Queens:
16140901064495857664,8,1154048778945175560
14987979559889010688,8,2918333726767333380
14411518807585587200,8,1315052210033264640
14123288431433875456,8,2485987028685295680
13979173243358019584,8,297378321619042320
13907115649320091648,8,1154048643611887680
13871086852301127680,8,1170944703579824130
13853072453791645696,8,2306986776201790080
13844065254536904704,9,2342170882522497032
13839561654909534208,9,1171507655606273056
13837309855095848960,9,613070108662695968
13836183955189006336,9,324549719187522064
13835621005235585024,8,1188959102083007040
13835339530258874368,8,73201361042808833
13835198792770519040,8,148689160817877000
13835128424026341376,8,1153660394674848000
13835093239654252544,9,585609857313276992
13835075647468208128,9,292806578451517441
13835066851375185920,9,2308167445581465728
13835062453328674816,9,297248845417681024
13835060254305419264,9,162148297612462082
13835059154793791488,8,288582224704573568
13835058605037977600,8,2341876210722669064
13835058330160070656,9,594476817797234704
13835058192721117184,9,2306424105542353952
13835058124001640448,9,1170944841011430016
13835058089641902080,9,324268252867854608
13835058072462032896,9,306254125073571844
13835058063872098304,9,153127064692592642
13835058059577131008,8,148619921599766532
13835058057429647360,8,297378317328191490
13835058056355905536,9,1170938241793212424
13835058055819034624,9,2307039314389762592
13835058055550599168,9,612494017196720416
13835058055416381440,9,585608707317432848
13835058055349272576,9,297239845313986564
13835058055315718144,9,153263143089865232
13835058055298940928,8,2306476332348866820
13835058055290552320,8,297239845296750600
13835058055286358016,8,585608698710262800
13835058055284260864,9,2308097558079340832
13835058055283212288,9,76702068731154436
13835058055282688000,9,577094139796070408
13835058055282425856,9,153127060397687824
13835058055282294784,9,146402722085683202
13835058055282229248,8,2308095979406114820
13835058055282196480,8,292874747648148000
13835058055282180096,8,1153519657186525440
13835058055282171904,9,2308097283197272352
13835058055282167808,9,1153519657186525456
13835058055282165760,9,594479686333006088
13835058055282164736,9,1153519657186525444
13835058055282164224,8,1153519657186525440
13835058055282163968,8,612507150635319297
13835058055282163840,8,1170944703579824130
13835058055282163776,8,162147195968030880
13835058055282163744,8,9011668168280130
13835058055282163728,8,297237850418647170
13835058055282163720,8,1170944703579824130
13835058055282163716,8,2322186274738305
13835058055282163714,8,1153519644301623300
13835058055282163713,8,577164577201197120
12682136550675316736,8,4612284169950101520
12105675798371893248,8,90080928227004420
11817445422220181504,8,5260204914559157280
11673330234144325632,8,5260204914559157280
11601272640106397696,8,594492752125822080
11547229444577951744,9,5765205662729011204
11538222245323210752,8,594774227102467200
11533718645695840256,9,1189266995372101636
11531466845882155008,9,613070108662695968
11530340945975312384,9,4904706417522901504
11529777996021891072,8,4758053012760429600
11529496521045180416,9,4685997682169283616
11529355783556825088,8,594492752125822080
11529285414812647424,9,5188292043742384129
11529250230440558592,9,585609857313276992
11529232638254514176,9,4904560740421075216
11529223842161491968,9,585609806010647048
11529219444114980864,9,297248845417681024
11529217245091725312,9,4758089290235249792
11529216145580097536,9,4900233062786367496
11529215595824283648,9,4904560736126140418
11529215320946376704,9,594493301881635904
11529215183507423232,9,297246655244148737
11529215114787946496,9,1170944843090890756
11529215080428208128,9,4900207215673215008
11529215063248338944,9,4760309758362125344
11529215054658404352,9,153127064692592642
11529215050363437056,9,4900233062786367496
11529215048215953408,9,4904560736126140418
11529215047142211584,9,4613938988655313984
11529215046605340672,9,81205600608329732
11529215046336905216,9,74379833497355296
11529215046202687488,9,5188432781227622408
11529215046135578624,9,4758193761253851424
11529215046102024192,9,4904422193783898752
11529215046085246976,9,4685998161595008016
11529215046076858368,9,4904560736126140418
11529215046072664064,9,4904422743522951169
11529215046070566912,9,4686031146441507872
11529215046069518336,9,1170938137044648976
11529215046068994048,9,577094139796070408
11529215046068731904,9,153127060397687824
11529215046068600832,9,146402722085683202
11529215046068535296,8,5764897796253549569
11529215046068502528,8,594492752125822080
11529215046068486144,9,5188850595628585024
11529215046068477952,9,594479686333006112
11529215046068473856,9,1153519657186525456
11529215046068471808,9,594479686333006088
11529215046068470784,9,4758054655853076484
11529215046068470272,8,4686136218520388640
11529215046068470016,8,5188568983231529985
11529215046068469888,8,594476800348921860
11529215046068469824,8,594492752125822080
11529215046068469792,8,594492752125822080
11529215046068469776,8,594492752125822080
11529215046068469768,8,594492752125822080
11529215046068469764,8,594492752125822080
11529215046068469762,8,594492752125822080
11529215046068469761,8,594492752125822080
10952754293765046272,8,297239845296750600
10664523917613334528,8,5260204914559157280
10520408729537478656,8,81205549035160080
10448351135499550720,8,2452211646639374400
10394307939971104768,9,5188780107153543169
10385300740716363776,9,2882603378972835842
10380797141088993280,8,4900198419849019920
10378545341275308032,9,612775492138960928
10377419441368465408,9,324575866916966404
10376856491415044096,9,2452280370210538112
10376575016438333440,9,2380222778252070916
10376363910205800448,9,5188291976058970114
10376328725833711616,9,2918333727841067012
10376311133647667200,9,4760446643399303176
10376302337554644992,9,2452280370210570248
10376297939508133888,9,2630104415788339204
10376295740484878336,9,148760660136960002
10376294640973250560,9,4685998161595008016
10376294091217436672,9,2485991667375538448
10376293816339529728,9,4904422743522951169
10376293678900576256,9,2918333727841067012
10376293610181099520,9,2882603387298250756
10376293575821361152,9,577041861915983873
10376293558641491968,9,306254125073571844
10376293550051557376,9,2449962874651545602
10376293545756590080,9,4685998161595008016
10376293543609106432,9,2485991667375538448
10376293542535364608,9,4612257904077312064
10376293541998493696,9,4760306043217543172
10376293541730058240,9,2380222842676580356
10376293541595840512,9,2594425265594565128
10376293541528731648,9,2594425265593651204
10376293541495177216,9,2379096882641109512
10376293541478400000,9,2452211646639374656
10376293541470011392,9,4904560736126140418
10376293541465817088,9,4904422743522951169
10376293541463719936,9,76631571544940552
10376293541462671360,9,76702068731154436
10376293541462147072,9,2452280367996207368
10376293541461884928,9,2630102186817884164
10376293541461753856,9,2379096882641109512
10376293541461688320,9,2630104415788339201
10376293541461655552,9,2594425299953387648
10376293541461639168,9,5188850595628585024
10376293541461630976,9,4686030596685726752
10376293541461626880,9,2306987051079713296
10376293541461624832,9,297246377942991368
